,Daily Sharpe - 1y,Annual Sharpe - 1y,Return over 1y (%),Avg volume (1y)
14D.AX,0.048396375549304475,0.7682686443620798,0.12499999999999993,248678.32941176472
1ST.AX,0.024012501380709855,0.38118664205972036,-0.5,3118363.682352941
3PL.AX,0.07593980167168646,1.2055069790090966,0.5795454545454545,279031.36862745095
4DS.AX,0.08262708060489295,1.3116642410390107,1.5,4128555.5725490195
5GN.AX,0.08184839518939901,1.299302993285311,1.0526315789473684,997234.0666666667
88E.AX,,,-0.5,22190406.63137255
8CO.AX,0.05989761479023787,0.950845157165482,0.4545454545454546,639646.0784313725
8IH.AX,0.07543774744650876,1.1975371152621601,1.5,53517.788235294116
8EC.AX,-0.0526018593264054,-0.8350286296636334,-0.9892473118279571,1301.3503937007874
8VI.AX,0.18296181309849316,2.904428741280557,11.000000000000002,4686.462745098039
9SP.AX,0.08943850189597566,1.4197922019055829,0.4999999999999999,7003876.423529412
ACB.AX,,,1.9999999999999996,735133.9606299213
A2B.AX,0.005902009772262438,0.09369150055727622,-0.11464968152866252,162906.1568627451
ABP.AX,-0.012235880632020435,-0.1942385833451874,-0.1806282722513089,1320794.325490196
ABL.AX,,,,601.4212598425197
AEG.AX,0.04814853275229678,0.7643342619313536,0.3366336633663367,127923.94117647059
ABT.AX,,,,
ACS.AX,,,inf,1750.8228346456692
ACQ.AX,0.039729427411847526,0.6306851079764465,0.21487603305785125,88625.38823529411
ACF.AX,0.044165095439233325,0.7010991549698661,0.2758620689655173,243910.23137254902
ACR.AX,0.028738836372863532,0.4562148840718466,0.05555555555555561,143640.71764705883
ACW.AX,0.051665247528187005,0.8201603783050643,-0.6,3068829.054901961
ACU.AX,0.02244331864400051,0.35627663836202833,-0.25000000000000006,104946.21960784314
AD1.AX,0.07421607163507192,1.1781436129833307,4.0,2334656.564705882
ADA.AX,0.062417758725900004,0.9908512018965794,0.6470588235294117,83007.94117647059
ADH.AX,0.0680271500925419,1.0798975292719826,0.7944444444444444,1549247.6588235295
1AD.AX,0.04449243002140601,0.706295430369507,0.0,492875.6535433071
ADD.AX,0.13618364474985606,2.1618483398549166,4.999999999999999,1699878.6196078432
ABC.AX,0.016346108464872403,0.259486427410441,-0.03384615384615381,2703592.811764706
ADR.AX,0.06855544271346381,1.0882839146385619,-0.25000000000000006,708381.0274509804
AHZ.AX,,,,
ADY.AX,,,0.0,665531.1058823529
ADT.AX,0.06445559548296312,1.0232008575269915,0.6641791044776119,439544.72156862746
ADJ.AX,,,,
ABV.AX,0.059107432201828604,0.9383013974498966,0.0,596069.8976377953
ADX.AX,,,-1.0,1357011.0078740157
AER.AX,0.024457673469781983,0.38825352988959205,0.0,25139.279527559054
AEI.AX,0.04524668096694662,0.7182687929377216,0.28571428571428553,718408.0823529412
AFL.AX,0.0969703665349025,1.5393568463647933,2.1333333333333333,99033.56470588235
AEB.AX,-inf,-inf,0.0,0.0
AFR.AX,0.07871200162089904,1.249514288910071,1.0,157533.87401574804
A1G.AX,0.03268874204899678,0.5189176927991127,-0.11764705882352951,70756.05118110236
AFT.AX,,,,0.0
AFP.AX,0.07140809402231052,1.1335683502809097,0.5482758620689656,9107.396078431373
AGL.AX,-0.0785249313318923,-1.2465446401356661,-0.3181588265048052,2436123.556862745
AGJ.AX,-0.033669910903611155,-0.534493265499943,-0.5,7867.708661417323
AGR.AX,0.01281510204634941,0.20343343824333282,-0.43750000000000006,186134.79607843136
AHL.AX,,,0.0,1441300.4488188976
A1M.AX,0.035638842946173165,0.5657490926979761,0.1764705882352941,45839.25490196078
AGI.AX,-0.06268090624575019,-0.9950285392704616,-0.5921052631578947,152266.21960784314
A40.AX,-inf,-inf,0.0,0.0
AHQ.AX,-0.014113894129340684,-0.22405112338157968,-0.5833333333333333,299820.85098039213
AGS.AX,0.05120873439635309,0.8129134570026575,0.4166666666666668,62696.07843137255
AGE.AX,,,,6481249.956862745
A4N.AX,0.0828074143178513,1.314526949983943,1.4285714285714286,980484.6196078431
1AG.AX,0.05091298422233546,0.8082185685387291,0.25000000000000006,90316.11417322834
AGH.AX,0.03526187686447869,0.5597649416687559,0.14634146341463414,698072.0509803921
3DA.AX,0.06298853992935118,0.9999120726007512,0.625,613223.8211382114
ABR.AX,0.09451625524591353,1.5003990374027474,1.8928571428571428,748703.125490196
ADN.AX,0.13243907174082126,2.102405086166731,6.75,8989867.690196078
AAR.AX,0.06264359103359282,0.9944361786415334,0.6666666666666666,690078.4352941177
AGG.AX,0.02555406562815975,0.4056582158324055,0.07194244604316553,32881.46666666667
ADO.AX,0.10785759674932413,1.7121862680468016,3.0,3875498.8039215687
AGX1.AX,0.019145167160454772,0.30392010669194375,0.043795620437956075,6049.144
AHX.AX,0.06773745367007497,1.075298741134667,0.6279069767441859,76915.72941176471
ADI.AX,0.01647324137661706,0.2615045998180083,0.024054982817869358,255027.64705882352
ADV.AX,,,inf,15221188.388235293
AGY.AX,0.024424635386869804,0.38772906658251227,-0.11111111111111106,1639579.188235294
AHK.AX,,,,
AAJ.AX,,,inf,5977013.290196079
AHY.AX,0.018311025104432905,0.29067851206193995,0.041666666666666706,394111.1411764706
AFA.AX,-0.04021784218959655,-0.6384384522078833,-0.3333333333333333,1331.5748031496064
AHN.AX,,,,
AIA.AX,-0.007322773465318424,-0.11624542497897129,-0.1554524361948955,667565.725490196
ACP.AX,,,inf,9252.551181102363
AD8.AX,0.013370931675209764,0.2122569600590478,-0.14285714285714288,343799.5019607843
AEE.AX,,,,4276610.027559055
ABW.AX,,,,
A3D.AX,-0.013295059108765456,-0.2110525204061846,-0.7037037037037037,292895.2086614173
AC8.AX,0.0007816635037012958,0.012408523438374269,-0.3636363636363636,782975.5921568627
AGD.AX,0.08952492551573313,1.4211641343372645,2.166666666666667,298240.4117647059
AAC.AX,0.024961862817756662,0.3962572876601649,0.08256880733944941,592949.8666666667
AAP.AX,0.07395764397587276,1.1740412010744816,1.9999999999999996,31498.62598425197
ABX.AX,0.020213592171542817,0.32088082793510614,-0.09090909090909087,62526.47843137255
AHF.AX,0.02145168752568961,0.3405349823738473,-0.10000000000000009,418995.14901960787
AEF.AX,0.04822311538728345,0.7655182245571454,0.3527777777777778,414837.9960784314
AFG.AX,0.020478920227983095,0.32509278025424065,-0.027343749999999938,1238957.5843137256
AFI.AX,0.02682921055169089,0.42590051395178474,0.08494783904619975,454342.9882352941
AGM.AX,-0.010756103053864399,-0.17074784254024547,-0.18592964824120597,15338.09561752988
ABA.AX,0.023032295053683243,0.36562634901065355,0.06902654867256632,24340.439215686274
AEV.AX,,,1.0,1084313.431372549
A200.AX,0.005081087713485994,0.08065976687753851,-0.016082000530175906,49433.725099601594
AGVT.AX,0.03115821430007366,0.4946213180091082,0.036542239685658146,6544.266932270916
AAA.AX,-0.029961977526477276,-0.47563164793659035,-0.0003991219317500703,240850.9721115538
ACDC.AX,0.11584478520628408,1.838978954037132,0.558531746031746,2750.2470119521913
4CE.AX,0.06220628895899534,0.9874942234183481,1.0,506171.16078431375
360.AX,0.04920280028656259,0.7810702401973332,0.3466666666666667,304860.91764705884
1AL.AX,-0.07451786194897397,-1.1829343856953685,-0.7674418604651162,3753.271739130435
3DP.AX,0.11731980637584581,1.862394189196428,6.142857142857142,2706829.074509804
A2M.AX,0.007621282201507471,0.12098410425978974,-0.021443888491779892,3794380.6156862746
